"","stock","species","broodyear","recruits","spawners","stock.id"
"64","Atnarko","Sockeye",1987,90984,30780,1
"65","Atnarko","Sockeye",1988,62288,30000,1
"66","Atnarko","Sockeye",1989,39421,15000,1
"67","Atnarko","Sockeye",1990,54979,20000,1
"68","Atnarko","Sockeye",1991,69361,52500,1
"69","Atnarko","Sockeye",1992,49322,41000,1
"70","Atnarko","Sockeye",1993,28183,15000,1
"71","Atnarko","Sockeye",1994,41466,25000,1
"72","Atnarko","Sockeye",1995,26868,55000,1
"73","Atnarko","Sockeye",1996,22151,45000,1
"74","Atnarko","Sockeye",1997,35068,20000,1
"75","Atnarko","Sockeye",1998,44282,30000,1
"76","Atnarko","Sockeye",1999,26684,25000,1
"77","Atnarko","Sockeye",2000,23413,15000,1
"78","Atnarko","Sockeye",2001,7454,30000,1
"79","Atnarko","Sockeye",2002,6519,50000,1
"80","Atnarko","Sockeye",2003,937,18000,1
"81","Atnarko","Sockeye",2004,2877,25000,1
"82","Atnarko","Sockeye",2005,3835,6000,1
"83","Atnarko","Sockeye",2006,2126,6000,1
"84","Atnarko","Sockeye",2007,1926,1200,1
"85","Atnarko","Sockeye",2008,4142,900,1
"86","Atnarko","Sockeye",2009,1400,3500,1
"87","Atnarko","Sockeye",2010,2858,2300,1
"88","Atnarko","Sockeye",2011,13609,1500,1
"92","Ayakulik","Sockeye",1966,137380,66057,2
"93","Ayakulik","Sockeye",1967,148399,227089,2
"94","Ayakulik","Sockeye",1968,262662,220850,2
"95","Ayakulik","Sockeye",1969,105521,71160,2
"96","Ayakulik","Sockeye",1970,39426,33863,2
"97","Ayakulik","Sockeye",1971,288749,109174,2
"98","Ayakulik","Sockeye",1972,564192,113733,2
"99","Ayakulik","Sockeye",1973,330218,119993,2
"100","Ayakulik","Sockeye",1974,449567,181631,2
"101","Ayakulik","Sockeye",1975,463560,94517,2
"102","Ayakulik","Sockeye",1976,836326,219047,2
"103","Ayakulik","Sockeye",1977,287347,306982,2
"104","Ayakulik","Sockeye",1978,122271,132864,2
"105","Ayakulik","Sockeye",1979,254507,222270,2
"106","Ayakulik","Sockeye",1980,1152533,774328,2
"107","Ayakulik","Sockeye",1981,1091980,279200,2
"108","Ayakulik","Sockeye",1982,240472,169678,2
"109","Ayakulik","Sockeye",1983,382082,171415,2
"110","Ayakulik","Sockeye",1984,604314,283215,2
"111","Ayakulik","Sockeye",1985,1786779,388759,2
"112","Ayakulik","Sockeye",1986,1730211,318135,2
"113","Ayakulik","Sockeye",1987,1015566,261913,2
"114","Ayakulik","Sockeye",1988,325535,291774,2
"115","Ayakulik","Sockeye",1989,752667,768101,2
"116","Ayakulik","Sockeye",1990,600475,371282,2
"117","Ayakulik","Sockeye",1991,1265306,384859,2
"118","Ayakulik","Sockeye",1992,582033,344184,2
"119","Ayakulik","Sockeye",1993,772668,286170,2
"120","Ayakulik","Sockeye",1994,1454916,380181,2
"121","Ayakulik","Sockeye",1995,683791,317832,2
"122","Ayakulik","Sockeye",1996,482553,337155,2
"123","Ayakulik","Sockeye",1997,91798,308214,2
"124","Ayakulik","Sockeye",1998,212283,427208,2
"125","Ayakulik","Sockeye",1999,474020,295716.6156,2
"126","Ayakulik","Sockeye",2000,291385,208651,2
"127","Ayakulik","Sockeye",2001,194600,218892,2
"128","Ayakulik","Sockeye",2002,313385,229292,2
"129","Ayakulik","Sockeye",2003,233514,197892,2
"130","Ayakulik","Sockeye",2004,298125,275238,2
"131","Ayakulik","Sockeye",2005,491723,251906,2
"132","Ayakulik","Sockeye",2006,420587,87780.0001,2
"133","Ayakulik","Sockeye",2007,636865,283042,2
"134","Ayakulik","Sockeye",2008,353420,162888,2
"135","Ayakulik","Sockeye",2009,480608,315184,2
"136","Ayakulik","Sockeye",2010,992533,262327,2
"144","Bear","Sockeye",1981,318386,214728,3
"145","Bear","Sockeye",1982,280870,104503,3
"146","Bear","Sockeye",1983,319246,172143,3
"147","Bear","Sockeye",1984,503626,108151,3
"148","Bear","Sockeye",1985,939836,170739,3
"149","Bear","Sockeye",1986,870243,98921,3
"150","Bear","Sockeye",1987,1088611,83395,3
"151","Bear","Sockeye",1988,690272,140660,3
"152","Bear","Sockeye",1989,1069218,204804,3
"153","Bear","Sockeye",1990,1188080,262946,3
"154","Bear","Sockeye",1991,376415,173913,3
"155","Bear","Sockeye",1992,503964,195830,3
"156","Bear","Sockeye",1993,540820,197988,3
"157","Bear","Sockeye",1994,787727,204441,3
"158","Bear","Sockeye",1995,713745,107961,3
"159","Bear","Sockeye",1996,503017,119629,3
"160","Bear","Sockeye",1997,348670,145311,3
"161","Bear","Sockeye",1998,226082,193420,3
"162","Bear","Sockeye",1999,114120,127890,3
"163","Bear","Sockeye",2000,740756,90947,3
"164","Bear","Sockeye",2001,401742,122505,3
"165","Bear","Sockeye",2002,1042167,95520,3
"166","Bear","Sockeye",2003,903429,139799,3
"167","Bear","Sockeye",2004,293118,80435,3
"168","Bear","Sockeye",2005,457637,221752,3
"169","Bear","Sockeye",2006,150731,182005,3
"170","Bear","Sockeye",2007,117462,224767,3
"171","Bear","Sockeye",2008,318351,195474,3
"172","Bear","Sockeye",2009,519639,133263,3
"173","Bear","Sockeye",2010,515426,142966,3
"291","Black Lake","Sockeye",1965,1948139,307192,4
"292","Black Lake","Sockeye",1966,1303562,383545,4
"293","Black Lake","Sockeye",1967,240643,328000,4
"294","Black Lake","Sockeye",1968,1210282,342343,4
"295","Black Lake","Sockeye",1969,477876,366589,4
"296","Black Lake","Sockeye",1970,446677,536257,4
"297","Black Lake","Sockeye",1971,1382628,671668,4
"298","Black Lake","Sockeye",1972,912946,326320,4
"299","Black Lake","Sockeye",1973,1243249,538462.0188,4
"300","Black Lake","Sockeye",1974,630062,364602.9223,4
"301","Black Lake","Sockeye",1975,361222,326563,4
"302","Black Lake","Sockeye",1976,1242182,553754,4
"303","Black Lake","Sockeye",1977,2181469,364557.2167,4
"304","Black Lake","Sockeye",1978,1087180,419731.6671,4
