"","stock","species","broodyear","recruits","spawners","stock.id"
"64","Atnarko","Sockeye",1987,90984,30780,2
"65","Atnarko","Sockeye",1988,62288,30000,2
"66","Atnarko","Sockeye",1989,39421,15000,2
"67","Atnarko","Sockeye",1990,54979,20000,2
"68","Atnarko","Sockeye",1991,69361,52500,2
"69","Atnarko","Sockeye",1992,49322,41000,2
"70","Atnarko","Sockeye",1993,28183,15000,2
"71","Atnarko","Sockeye",1994,41466,25000,2
"72","Atnarko","Sockeye",1995,26868,55000,2
"73","Atnarko","Sockeye",1996,22151,45000,2
"74","Atnarko","Sockeye",1997,35068,20000,2
"75","Atnarko","Sockeye",1998,44282,30000,2
"76","Atnarko","Sockeye",1999,26684,25000,2
"77","Atnarko","Sockeye",2000,23413,15000,2
"78","Atnarko","Sockeye",2001,7454,30000,2
"79","Atnarko","Sockeye",2002,6519,50000,2
"80","Atnarko","Sockeye",2003,937,18000,2
"81","Atnarko","Sockeye",2004,2877,25000,2
"82","Atnarko","Sockeye",2005,3835,6000,2
"83","Atnarko","Sockeye",2006,2126,6000,2
"84","Atnarko","Sockeye",2007,1926,1200,2
"85","Atnarko","Sockeye",2008,4142,900,2
"86","Atnarko","Sockeye",2009,1400,3500,2
"87","Atnarko","Sockeye",2010,2858,2300,2
"88","Atnarko","Sockeye",2011,13609,1500,2
"92","Ayakulik","Sockeye",1966,137380,66057,3
"93","Ayakulik","Sockeye",1967,148399,227089,3
"94","Ayakulik","Sockeye",1968,262662,220850,3
"95","Ayakulik","Sockeye",1969,105521,71160,3
"96","Ayakulik","Sockeye",1970,39426,33863,3
"97","Ayakulik","Sockeye",1971,288749,109174,3
"98","Ayakulik","Sockeye",1972,564192,113733,3
"99","Ayakulik","Sockeye",1973,330218,119993,3
"100","Ayakulik","Sockeye",1974,449567,181631,3
"101","Ayakulik","Sockeye",1975,463560,94517,3
"102","Ayakulik","Sockeye",1976,836326,219047,3
"103","Ayakulik","Sockeye",1977,287347,306982,3
"104","Ayakulik","Sockeye",1978,122271,132864,3
"105","Ayakulik","Sockeye",1979,254507,222270,3
"106","Ayakulik","Sockeye",1980,1152533,774328,3
"107","Ayakulik","Sockeye",1981,1091980,279200,3
"108","Ayakulik","Sockeye",1982,240472,169678,3
"109","Ayakulik","Sockeye",1983,382082,171415,3
"110","Ayakulik","Sockeye",1984,604314,283215,3
"111","Ayakulik","Sockeye",1985,1786779,388759,3
"112","Ayakulik","Sockeye",1986,1730211,318135,3
"113","Ayakulik","Sockeye",1987,1015566,261913,3
"114","Ayakulik","Sockeye",1988,325535,291774,3
"115","Ayakulik","Sockeye",1989,752667,768101,3
"116","Ayakulik","Sockeye",1990,600475,371282,3
"117","Ayakulik","Sockeye",1991,1265306,384859,3
"118","Ayakulik","Sockeye",1992,582033,344184,3
"119","Ayakulik","Sockeye",1993,772668,286170,3
"120","Ayakulik","Sockeye",1994,1454916,380181,3
"121","Ayakulik","Sockeye",1995,683791,317832,3
"122","Ayakulik","Sockeye",1996,482553,337155,3
"123","Ayakulik","Sockeye",1997,91798,308214,3
"124","Ayakulik","Sockeye",1998,212283,427208,3
"125","Ayakulik","Sockeye",1999,474020,295716.6156,3
"126","Ayakulik","Sockeye",2000,291385,208651,3
"127","Ayakulik","Sockeye",2001,194600,218892,3
"128","Ayakulik","Sockeye",2002,313385,229292,3
"129","Ayakulik","Sockeye",2003,233514,197892,3
"130","Ayakulik","Sockeye",2004,298125,275238,3
"131","Ayakulik","Sockeye",2005,491723,251906,3
"132","Ayakulik","Sockeye",2006,420587,87780.0001,3
"133","Ayakulik","Sockeye",2007,636865,283042,3
"134","Ayakulik","Sockeye",2008,353420,162888,3
"135","Ayakulik","Sockeye",2009,480608,315184,3
"136","Ayakulik","Sockeye",2010,992533,262327,3
"144","Bear","Sockeye",1981,318386,214728,4
"145","Bear","Sockeye",1982,280870,104503,4
"146","Bear","Sockeye",1983,319246,172143,4
"147","Bear","Sockeye",1984,503626,108151,4
"148","Bear","Sockeye",1985,939836,170739,4
"149","Bear","Sockeye",1986,870243,98921,4
"150","Bear","Sockeye",1987,1088611,83395,4
"151","Bear","Sockeye",1988,690272,140660,4
"152","Bear","Sockeye",1989,1069218,204804,4
"153","Bear","Sockeye",1990,1188080,262946,4
"154","Bear","Sockeye",1991,376415,173913,4
"155","Bear","Sockeye",1992,503964,195830,4
"156","Bear","Sockeye",1993,540820,197988,4
"157","Bear","Sockeye",1994,787727,204441,4
"158","Bear","Sockeye",1995,713745,107961,4
"159","Bear","Sockeye",1996,503017,119629,4
"160","Bear","Sockeye",1997,348670,145311,4
"161","Bear","Sockeye",1998,226082,193420,4
"162","Bear","Sockeye",1999,114120,127890,4
"163","Bear","Sockeye",2000,740756,90947,4
"164","Bear","Sockeye",2001,401742,122505,4
"165","Bear","Sockeye",2002,1042167,95520,4
"166","Bear","Sockeye",2003,903429,139799,4
"167","Bear","Sockeye",2004,293118,80435,4
"168","Bear","Sockeye",2005,457637,221752,4
"169","Bear","Sockeye",2006,150731,182005,4
"170","Bear","Sockeye",2007,117462,224767,4
"171","Bear","Sockeye",2008,318351,195474,4
"172","Bear","Sockeye",2009,519639,133263,4
"173","Bear","Sockeye",2010,515426,142966,4
"182","Birkenhead","Sockeye",1950,242740,41370,5
"183","Birkenhead","Sockeye",1951,216719,13590,5
"184","Birkenhead","Sockeye",1952,244678,24744,5
"185","Birkenhead","Sockeye",1953,156143,16287,5
"186","Birkenhead","Sockeye",1954,175704,8635,5
"187","Birkenhead","Sockeye",1955,280383,8185,5
"188","Birkenhead","Sockeye",1956,279109,27156,5
"189","Birkenhead","Sockeye",1957,76363,7068,5
"190","Birkenhead","Sockeye",1958,129262,5510,5
"191","Birkenhead","Sockeye",1959,268022,11388,5
"192","Birkenhead","Sockeye",1960,172100,19198,5
"193","Birkenhead","Sockeye",1961,129815,10550,5
"194","Birkenhead","Sockeye",1962,102491,14311,5
"195","Birkenhead","Sockeye",1963,456078,20769,5
"196","Birkenhead","Sockeye",1964,365895,27978,5
"197","Birkenhead","Sockeye",1965,165171,9769,5
"198","Birkenhead","Sockeye",1966,316855,13462,5
"199","Birkenhead","Sockeye",1967,492408,17580,5
"200","Birkenhead","Sockeye",1968,285207,31042,5
"201","Birkenhead","Sockeye",1969,791869,14324,5
"202","Birkenhead","Sockeye",1970,738909,19252,5
"203","Birkenhead","Sockeye",1971,369096,16143,5
"204","Birkenhead","Sockeye",1972,519340,26202,5
"205","Birkenhead","Sockeye",1973,216524,28374,5
"206","Birkenhead","Sockeye",1974,727181,85495,5
"207","Birkenhead","Sockeye",1975,120593,23315,5
"208","Birkenhead","Sockeye",1976,619577,50023,5
"209","Birkenhead","Sockeye",1977,431633,12799,5
"210","Birkenhead","Sockeye",1978,666214,48158,5
"211","Birkenhead","Sockeye",1979,415951,35482,5
"212","Birkenhead","Sockeye",1980,163172,32786,5
"213","Birkenhead","Sockeye",1981,266159,27175,5
"214","Birkenhead","Sockeye",1982,1816442,72353,5
"215","Birkenhead","Sockeye",1983,808110,21113,5
"216","Birkenhead","Sockeye",1984,470361,23227,5
"217","Birkenhead","Sockeye",1985,245842,5758,5
"218","Birkenhead","Sockeye",1986,1211967,197896,5
"219","Birkenhead","Sockeye",1987,999898,89432,5
"220","Birkenhead","Sockeye",1988,927715,75535,5
"221","Birkenhead","Sockeye",1989,1147929,15739,5
"222","Birkenhead","Sockeye",1990,238613,97112,5
"223","Birkenhead","Sockeye",1991,122385,152083,5
"224","Birkenhead","Sockeye",1992,99182,93443,5
"225","Birkenhead","Sockeye",1993,575880,151096,5
"226","Birkenhead","Sockeye",1994,67413,22315,5
"227","Birkenhead","Sockeye",1995,170525,18430,5
"228","Birkenhead","Sockeye",1996,78931,27848,5
"229","Birkenhead","Sockeye",1997,30582,23275,5
"230","Birkenhead","Sockeye",1998,619321,173045,5
"231","Birkenhead","Sockeye",1999,83528,26268,5
"232","Birkenhead","Sockeye",2000,101965,8333,5
"233","Birkenhead","Sockeye",2001,191674,28361,5
"235","Birkenhead","Sockeye",2003,13338,152651,5
"236","Birkenhead","Sockeye",2004,76400,17516,5
"237","Birkenhead","Sockeye",2005,86050,27117,5
"238","Birkenhead","Sockeye",2006,441809,137365,5
"239","Birkenhead","Sockeye",2007,246613,54290,5
"240","Birkenhead","Sockeye",2008,71911,6788,5
"241","Birkenhead","Sockeye",2009,133712,34475,5
"242","Birkenhead","Sockeye",2010,33814,67762,5
"243","Birkenhead","Sockeye",2011,88236,92420,5
"291","Black Lake","Sockeye",1965,1948139,307192,6
"292","Black Lake","Sockeye",1966,1303562,383545,6
"293","Black Lake","Sockeye",1967,240643,328000,6
"294","Black Lake","Sockeye",1968,1210282,342343,6
"295","Black Lake","Sockeye",1969,477876,366589,6
"296","Black Lake","Sockeye",1970,446677,536257,6
"297","Black Lake","Sockeye",1971,1382628,671668,6
"298","Black Lake","Sockeye",1972,912946,326320,6
"299","Black Lake","Sockeye",1973,1243249,538462.0188,6
"300","Black Lake","Sockeye",1974,630062,364602.9223,6
"301","Black Lake","Sockeye",1975,361222,326563,6
"302","Black Lake","Sockeye",1976,1242182,553754,6
"303","Black Lake","Sockeye",1977,2181469,364557.2167,6
"304","Black Lake","Sockeye",1978,1087180,419731.6671,6
"305","Black Lake","Sockeye",1979,3347748,491467.4483,6
"306","Black Lake","Sockeye",1980,1726619,369580.3608,6
"307","Black Lake","Sockeye",1981,1910700,570209.7109,6
"308","Black Lake","Sockeye",1982,2250486,616117,6
"309","Black Lake","Sockeye",1983,592496,426177.6558,6
"310","Black Lake","Sockeye",1984,714559,597712.782,6
"311","Black Lake","Sockeye",1985,796950,376578,6
"312","Black Lake","Sockeye",1986,2413019,557771.8391,6
"313","Black Lake","Sockeye",1987,1462800,589299.016,6
"314","Black Lake","Sockeye",1988,1642102,420579.8777,6
"315","Black Lake","Sockeye",1989,1682130,384000.6569,6
"316","Black Lake","Sockeye",1990,1485840,434550.1559,6
"317","Black Lake","Sockeye",1991,1571071,662659.9907,6
"318","Black Lake","Sockeye",1992,959175,360680.7056,6
"319","Black Lake","Sockeye",1993,941757,364261.197,6
"320","Black Lake","Sockeye",1994,2041288,769464.8943,6
"321","Black Lake","Sockeye",1995,2061129,366496,6
"322","Black Lake","Sockeye",1996,1646122,464747.6207,6
"323","Black Lake","Sockeye",1997,781887,396667.9395,6
"324","Black Lake","Sockeye",1998,886267,410659.1088,6
"325","Black Lake","Sockeye",1999,995314,457423.6073,6
"326","Black Lake","Sockeye",2000,1581985,536139,6
"327","Black Lake","Sockeye",2001,875274,744015,6
"328","Black Lake","Sockeye",2002,380223,384088,6
"329","Black Lake","Sockeye",2003,691348,350004,6
"330","Black Lake","Sockeye",2004,919790,363800,6
"331","Black Lake","Sockeye",2005,1505933,355091,6
"332","Black Lake","Sockeye",2006,3239001,366497,6
"333","Black Lake","Sockeye",2007,870603,361091,6
"334","Black Lake","Sockeye",2008,2547085,377579,6
"335","Black Lake","Sockeye",2009,404861,391476,6
"336","Black Lake","Sockeye",2010,1222204,432535,6
"345","Bowron","Sockeye",1950,75548,7298,7
"346","Bowron","Sockeye",1951,103821,10039,7
"347","Bowron","Sockeye",1952,43304,8568,7
"348","Bowron","Sockeye",1953,75579,5734,7
"349","Bowron","Sockeye",1954,66916,4566,7
"350","Bowron","Sockeye",1955,96955,4471,7
"351","Bowron","Sockeye",1956,38484,3639,7
"352","Bowron","Sockeye",1957,41966,6416,7
"353","Bowron","Sockeye",1958,18155,8297,7
"354","Bowron","Sockeye",1959,61865,14614,7
"355","Bowron","Sockeye",1960,17733,3506,7
"356","Bowron","Sockeye",1961,28148,3675,7
"357","Bowron","Sockeye",1962,21327,3219,7
"358","Bowron","Sockeye",1963,214316,11468,7
"359","Bowron","Sockeye",1964,27507,690,7
"360","Bowron","Sockeye",1965,17849,1170,7
"361","Bowron","Sockeye",1966,22249,1151,7
"362","Bowron","Sockeye",1967,206494,13991,7
"363","Bowron","Sockeye",1968,44642,1710,7
"364","Bowron","Sockeye",1969,17211,1936,7
"365","Bowron","Sockeye",1970,16197,497,7
"366","Bowron","Sockeye",1971,124507,10761,7
"367","Bowron","Sockeye",1972,16971,1969,7
"368","Bowron","Sockeye",1973,10662,2012,7
"369","Bowron","Sockeye",1974,17431,1046,7
"370","Bowron","Sockeye",1975,122780,14735,7
"371","Bowron","Sockeye",1976,7112,1069,7
"372","Bowron","Sockeye",1977,15396,1214,7
"373","Bowron","Sockeye",1978,40627,1678,7
"374","Bowron","Sockeye",1979,29984,16178,7
"375","Bowron","Sockeye",1980,45170,1376,7
"376","Bowron","Sockeye",1981,16532,562,7
"377","Bowron","Sockeye",1982,5277,990,7
"378","Bowron","Sockeye",1983,38556,3484,7
"379","Bowron","Sockeye",1984,50603,4909,7
"380","Bowron","Sockeye",1985,19177,3030,7
"381","Bowron","Sockeye",1986,21198,1396,7
"382","Bowron","Sockeye",1987,22592,5660,7
"383","Bowron","Sockeye",1988,13050,7405,7
"384","Bowron","Sockeye",1989,12842,1367,7
"385","Bowron","Sockeye",1990,31130,5065,7
"386","Bowron","Sockeye",1991,48807,2460,7
"387","Bowron","Sockeye",1992,12883,1117,7
"388","Bowron","Sockeye",1993,20467,592,7
"389","Bowron","Sockeye",1994,10849,1845,7
"390","Bowron","Sockeye",1995,27391,13487,7
"391","Bowron","Sockeye",1996,26776,4054,7
"392","Bowron","Sockeye",1997,5024,2119,7
"393","Bowron","Sockeye",1998,17001,2830,7
"394","Bowron","Sockeye",1999,19734,3295,7
"395","Bowron","Sockeye",2000,25283,6720,7
"396","Bowron","Sockeye",2001,6825,2752,7
"397","Bowron","Sockeye",2002,7674,4505,7
