"","stock","sp","c_median","c.l90","c.u90","c.l95","c.u95","Sk","Sk.l90","Sk.u90"
"1","Atnarko-Sockeye","Sockeye",0.751851899973868,0.366984942940632,1.09573242392196,0.289284705762681,1.18603587721268,107205.362835637,37459.9389772553,159538.865879495
"2","Ayakulik-Sockeye","Sockeye",0.928030225919641,0.643921987514395,1.29674271269721,0.583161580284676,1.38842233951019,1656991.67543924,725398.46423894,2264339.04934844
"3","Bear-Sockeye","Sockeye",0.312195211487368,0.0267002415660881,1.02105130055471,0.0137592172126312,1.36873817230294,296234.303833364,65972.9529212198,742558.257266886
"4","Birkenhead-Sockeye","Sockeye",0.291645944451296,0.0656545167905896,0.624367734023317,0.0363911451608576,0.721536874611192,312775.002555518,72686.9416142697,568678.50587723
"5","Black Lake-Sockeye","Sockeye",0.892205903708083,0.212866300323504,3.30444183152217,0.119797847813237,3.9429032236656,1453619.67788077,582699.689249075,2215096.9965468
"6","Bowron-Sockeye","Sockeye",0.782785433581576,0.585688406371705,0.981392529744189,0.547386728954205,1.01708705803939,35026.5847507915,16840.201467882,47210.347825004
"7","Chignik Lake-Sockeye","Sockeye",0.463764266065612,0.0989719165834071,0.885250696037342,0.0607684513928383,0.955481363235406,1012349.48385806,366487.39568353,1623101.06663275
"8","Chilko-Sockeye","Sockeye",0.643202279165117,0.461114028743041,0.905802113319737,0.430429225162393,0.949564459313103,1377736.45413285,383367.237409421,3300996.15876344
"9","Chilkoot-Sockeye","Sockeye",0.580869074268832,0.122037100427745,1.01382970426859,0.0793396808226831,1.10771213675342,208046.348974307,77036.7995997402,300702.094763675
"10","Coghill-Sockeye","Sockeye",0.369085293906931,0.0633023780599972,0.774278381755942,0.0288336788144146,0.85224892942247,313652.062835447,84980.5266785857,535156.819361617
"11","Copper-Sockeye","Sockeye",0.828615241378625,0.541317492755253,1.19097771264034,0.483791097381833,1.38226301430791,1925826.06859136,920963.281765812,2644128.37550057
"12","Cultus-Sockeye","Sockeye",0.829970496521358,0.687245927034626,0.963790237171609,0.658688838117478,0.987098426168122,66771.2881434077,30255.4279868888,87313.8179094254
"13","Early Karluk-Sockeye","Sockeye",0.464871818830049,0.0383897940945123,1.64865733723872,0.0199695453709625,2.03294028175816,227217.50961363,94785.8032761216,1185476.14419707
"14","Early Stuart-Sockeye","Sockeye",0.816407841842091,0.701476536322717,0.928954638323451,0.685000376488005,0.951063955006729,889317.301219228,417646.16399296,1140318.24953155
"15","Early Upper Station-Sockeye","Sockeye",0.815032886790459,0.430122282906623,1.22281937258433,0.357485813800652,1.34890663908973,356907.531856425,139570.108301473,496894.548039679
"16","Egegik-Sockeye","Sockeye",1.41811676148551,0.777823567210144,2.24587151490515,0.684614915750582,2.53281573617248,5735378.71674048,2351530.0372607,8108027.04171171
"17","Eshamy-Sockeye","Sockeye",0.440212590813083,0.238417378513821,0.659465561793364,0.196880009296736,0.702887956524323,124463.149691324,47154.2828647539,196335.629405538
"18","Fennell-Sockeye","Sockeye",0.536182726439939,0.402606549346145,0.706832821544981,0.377329180487729,0.743962215018563,22543.1738809515,5767.20100599211,43897.1757329758
"19","Frazer-Sockeye","Sockeye",0.815225831284591,0.38451989567335,1.434754958996,0.311373619084461,1.59899835938933,269586.386854063,153465.602392761,1285851.5477879
"20","Gates-Sockeye","Sockeye",0.696027512909366,0.536762233893513,0.852982289185744,0.504817287604037,0.894251536920978,50453.0106028224,17292.3219596358,76665.3778498604
"21","Goodnews-Sockeye","Sockeye",0.162185824589024,0.0174007257406127,0.617702607647436,0.00989716819342408,0.75183084306786,166674.784786848,31519.8849544717,358369.343291256
"22","Harrison-Sockeye","Sockeye",0.532992408086767,0.342937500496746,0.729968237860344,0.311478045266934,0.780745907646013,796368.374047748,267798.757722932,1164540.97737701
"23","Igushik-Sockeye","Sockeye",0.337392265633316,0.0649359632573643,0.713638101693737,0.0300722826694432,0.797249575859833,2878536.90390664,579180.916630632,5693434.01878192
"24","Kasilof-Sockeye","Sockeye",0.937491527615192,0.700699858688705,1.48884456535418,0.668226845932952,1.62047961958708,781674.030342177,328537.552632521,1476351.01409749
"25","Kenai-Sockeye","Sockeye",0.840227156652797,0.64203175461393,1.06410778222385,0.613804742658827,1.12767035283155,4005863.05194115,1764573.86319201,5876879.53549796
"26","Kvichak-Sockeye","Sockeye",0.786343966536643,0.580983488428108,0.991138004556407,0.544939858024589,1.03422802183217,53534241.495226,25353440.483045,71079828.1568872
"27","Late Karluk-Sockeye","Sockeye",0.206954748601923,0.0220287214232525,0.603079395117957,0.0097466149966288,0.708155350578365,1186675.87009008,279938.831162138,2366320.15784912
"28","Late Shuswap-Sockeye","Sockeye",0.903342369250825,0.828596129363085,0.975339873345522,0.813652766261938,0.988981683700502,6601860.45104622,2994793.44229182,8939499.56502148
"29","Late Stuart-Sockeye","Sockeye",0.699903780683523,0.585660444749092,0.813616235526027,0.555964532381719,0.836632545631714,1618648.4272179,716394.077538267,2181551.24466505
"30","Late Upper Station-Sockeye","Sockeye",0.652060780018528,0.298903564289167,0.942567585368197,0.22032622918131,1.01721119862277,907139.651616214,424261.752170602,1204716.85691496
"31","Nadina-Sockeye","Sockeye",0.97470397355461,0.781605164787599,1.24128981639124,0.733191254790131,1.30423938618852,135537.781067051,52542.1149494395,191030.297381074
